1,9788494730412,AVECES ME ABURRO,JUAN ARJONA Y ENRIQUE QUEVEDO,4,"Cuando pongo cara de pato, parezco un pato. Cuando pongo cara de vaca, parezco una vaca... No me importa lo que piensen los demás, cuando me aburro Pongo caras.",3,520,1,1.jpg,,,,,,,,,,,,,,,,,
2,9788494402630,AL CAER LA NOCHE CONSEJOS UTILES PARA UNA SANA CONVIVIENCIA ENTRE ESPECIES,ENRIQUE QUEVEDO,4,"Este práctico manual, dirigido tanto a niños como a monstruos, ofrece consejos útiles para superar con Exito los inesperados y tan temidos encuentros entre ambas especies, históricamente irreconciliables.",3,520,1,2.jpg,,,,,,,,,,,,,,,,,
3,9788494730436,BEA BAILA,LUCIANO LOZANO,4,"Bea es una niña muy inquieta que no consigue concentrarse en clase, algo que preocupa mucho a sus padres y profesores. ¡Podría repetir el curso! Mientras buscan la solución a este problema, descubren que Bea no está enferma, sólo tiene una afición que no puede contener, Bea baila.",3,560,1,3.jpg,,,,,,,,,,,,,,,,,
4,9788494730450,COLOSSUS,GURIDI,4,¿Cuál es la cosa más gigantesca que conoces? ¿Cuél es la cifra más alta que puedes imaginar? Ninguna de ellas es comparable con el secreto final que se esconde en este libro. Colossus es grande. Exactamente 417.893 veces más grande que tú.,3,570,1,4.jpg,,,,,,,,,,,,,,,,,
5,9788494910937,COMO ABRIO DON NICANOR EL GRAN CIRCO VOLADOR,MAR BENEGAS Y XIMO ABADIA,4,"Así comienza la historia contada en verso de Don Nicanor, un altruista y fantástico personaje que recorre el mundo rescatando animales en problemas. Juntos deciden abrir el Gran Circo Volador en el que cada uno de ellos participa aportando sus peculiares habilidades. Al fi nal del libro encontrarás una adaptación teatral de las aventuras de Don Nicanor, para representar en la escuela, en casa, con los amigos... Contiene descripción de los personajes, decorados, luz, música, vestuario y glosario con vocabulario teatral. ",3,545,1,5.jpg,,,,,,,,,,,,,,,,,
6,9788494402692,COMO EL BUEN DON NICANOR NO FUE REY NI EMPERADOR,MAR BENEGAS Y XIMO ABADIA,4,"Vuelve Don Nicador, acompañado de sus amigos!En esta aventura, tendrán que mediar en una absurda guerra entre dos pueblos a causa de una flor de canela.",4,625,1,6.jpg,,,,,,,,,,,,,,,,,
7,9788494402609,COMO PLUMA DE PAJARO,RAQUEL DIAZ REGUERA,4,"Guille encontraba un cuento para cada cosa porque, según él, cada cosa encerraba su propio cuento. Conoce a Guille, el niño que no para de crear de historias. Descubre cómo, en el día de su cumpleaños, recibe un regalo muy especial que despertará aún más su increíble imaginación.",4,520,1,7.jpg,,,,,,,,,,,,,,,,,
8,9788494622281,DON ROMUALDO,MARGARITA DEL MAZO Y NATASCHA ROSENBERG,4,"Tiene una cita y quiere que las horas vuelen. Mientras tanto, la ciudad respira y se revuelve. Pero eso sólo lo verás si te tomas este libro con calma, si te paseas sin prisa.Abre los ojos y observa. La curiosidad hará que cuando llegues a la última página, quieras visitar de nuevo cada rincón. Y así será una y otra vez.. Temas: diversidad, tolerancia",3,510,1,8.jpg,,,,,,,,,,,,,,,,,
9,9788494622212,EL BUSCADOR DE ORQUIDEAS,ANA SENDER,4,"Los cazadores de flores fueron intrépidos exploradores que, durante el siglo XIX, recorrieron los lugares más lejanos del planeta en busca de nuevas y extraordinarias especies. Esta es la historia del más asombroso de aquellos aventureros, un buscador de orquídeas cuya osadía y dedicación le llevaron a conocer mundos tanto posibles como imposibles.",3,595,1,9.jpg,,,,,,,,,,,,,,,,,
10,9788494124198,EL DIA EN QUE ME CONVERTI EN PAJARO,INGRID CHABBERT Y GURIDI,4,"¿Qué puede hacer un niño para llamar la atención de su amada, si parece invisible para ella? Primer álbum en castellano de la aclamada autora francesa Ingrid Chabbert.",4,560,1,10.jpg,,,,,,,,,,,,,,,,,
11,9788494402685,EL GALLO CANTA,NONO GRANERO,4,"El gallo canta, y con su pequeño acto desencadena un efecto dominó de proporciones épicas, ¡cataclísmicas!",4,475,1,11.jpg,,,,,,,,,,,,,,,,,
12,9788494730474,EL GATO DE LA ABUELA,JOSEFINA SCHARGORODSKY,4,"La historia de una abuela que vive en una casa normal, con un jardín normal, en un barrio normal, pero con un gato no tan normal: llegó a medir más de siete metros.",0,560,1,12.jpg,,,,,,,,,,,,,,,,,
13,9788412112627,EL PODADOR DE BONSAIS,JOSE CAMPANARI Y LUCIANO LOZANO,4,"El pequeño Yoshi observa con atención los cuidados que su vecino proporciona a un diminuto árbol, y comprende que son similares a los que él recibe de su propia madre. Cuando el bonsái al fin florece, Yoshi teme que a él también le crezcan flores en la cabeza, por lo que tomará una importante decisión. Una tierna historia acerca del ciclo de la vida, los cambios y el miedo a crecer.",3,520,1,13.jpg,,,,,,,,,,,,,,,,,
14,9788494402661,ERASE,GURIDI,4,"Desde niño, Érase posee una extraordinaria capacidad para transformar palabras y frases en increíbles historias, cautivado con ellas a los habitantes de su pequeño pueblo. Pero ¿qué sucedería si un día, de repente, dejara de narrar? ¿Sería posible vivir sin cuentos?",0,600,1,14.jpg,,,,,,,,,,,,,,,,,
15,9788494910951,EXCURSION,YAEL FRANKEL,4,"Para disfrutar plenamente de una excursión es muy importante escuchar atentamente a mamá: ella hace las mejores listas para no olvidar nada y, además, da los mejores consejos. A través de la personalísima estética de la ilustradora argentina Yael Frankel llega “Excursión”, un álbum lúdico y luminoso que nos recuerda lo emocionante de viajar en la infancia, de la insistencia de las madres para que no se olvide nada, y de las distintas percepciones en cuanto al concepto de diversión se refiere.",3,525,1,15.jpg,,,,,,,,,,,,,,,,,
16,9788494910999,LA CIGARRA Y SU GUITARRA EN LA CHARCA MUSICAL,MAR BENEGAS Y NATASCHA ROSENBERG,4,"Aquí está doña Cigarra, siempre va con su guitarra. Es honesta, soñadora, y da mucho la tabarra. Va de gira veraniega, pues se cree gran solista, así ofrece sus conciertos en bosques, campos y pistas.",2,510,1,16.jpg,,,,,,,,,,,,,,,,,
17,9788494910913,LA ULTIMA AVELLANA,SUSANNA ISERN Y MARIANA RUIZ JOHNSON,4,"Tim y Teo son grandes amigos. Un día suben a la cima de la montaña para compartir unas avellanas. Pero cuando la última desaparece, la decepción y el enfado ponen en peligro su amistad.",3,560,1,17.jpg,,,,,,,,,,,,,,,,,
18,9788494124181,LABORATORIO DE ESCRITURA,RAQUEL DIAZ REGUERA,4,"¿Serías capaz de convertir el cuento de Cenicienta en un relato de humor?, ¿y de escribir una carta antes de ser raptado por unos marcianos? Quizás te gustaría redactar la noticia sobre el primer burro alado, o explicarnos qué maravilloso invento has creado...En el laboratorio que llevas sobre los hombros TODO ES POSIBLE.En este libro te invitamos a darle forma narrativa a tus ideas. Con los experimentos que te proponemos, todos los mundos que habitan en tu imaginario se desbordarán sobre el papel.Dale vida a tus personajes, inventa para ellos una aventura y aderézala con los ingredientes de tu laboratorio, de este modo obtendrás increíbles cuentos...¡Descubre el escritor que llevas dentro!",5,565,1,18.jpg,,,,,,,,,,,,,,,,,
19,9788494730429,LAS HADAS DE COTTINGLEY,ANA SENDER,4,"Una tarde de julio de 1918, la pequeña Elsie Wright y su prima Frances Griffith fotografiaron hadas en un arroyo cercano a su casa, en el pequeño pueblecito de Cottingley (Yorkshire). Aunque el asunto se tomó con cierta reticencia, el apoyo del insigne escritor y espiritualista Sir Arthur Conan Doyle acabó por convencer a gran parte de la opinión pública... Este es el relato, narrado por la propia Elsie, de los verdaderos acontecimientos.",3,655,1,19.jpg,,,,,,,,,,,,,,,,,
20,9788494622236,LO QUE HAY DETRÁS,JUAN FRAU Y NEUS CAAMAÑO,4,"Lo que hay detrás es siempre un misterio y una invitación a la aventura. Abrir lo que está cerrado para descubrir lo que está oculto es un pulso irresistible para quien quiere conocer el mundo. A veces no es fácil, y no siempre acaba bien, pero nunca hay que rendirse.",3,420,1,20.jpg,,,,,,,,,,,,,,,,,
21,9788494730481,LOS VALIENTES CABALLEROS,FRAN PINTADERA Y LUCIANO LOZANO,4,"Intrépidos, audaces, osados, atrevidos y caballeros. ¡Muy caballeros! Tanto que harán lo que sea por salvar a la pobre princesa desaparecida. O algo así.",4,505,1,21.jpg,,,,,,,,,,,,,,,,,
22,9788494124167,MECANISTIARIO DEL PROFESOR CHAPARELLI,ENRIQUE QUEVEDO,4,"Esta obra es el compendio de seres mecánicos creados por un gran científico del siglo XXV.Este volumen ilustrado recopila sus estudios sobre el mundo animal y su relación con el agua como fuente de vida. Se incluye su mayor logro conocido hasta la fecha: el célebre Ciclo Vital del Animal Mecánico, culmen de sus improbables investigaciones.",0,450,1,22.jpg,,,,,,,,,,,,,,,,,
23,9788494910944,MI SELVA,NANEN,4,"¡Ten los ojos bien abiertos! ¡Mil peligros acechan en la selva! Algunas aventuras pueden ser increíbles, solo tienes que atreverte.",2,450,1,23.jpg,,,,,,,,,,,,,,,,,
24,9788494124150,PASEN Y VEAN,GURIDI,4,"En este libro puedes experimentar y crear:Rellena, dibuja, colorea, estropea, arregla, piensa y juega.¡Expresa todo lo que pase por tu mente!Da igual si no sale bien, el objetivo es disfrutar del proceso, descubrir que la imaginación, no se debe perder nunca.Además?en este viaje no estarás sólo?",0,565,1,24.jpg,,,,,,,,,,,,,,,,,
